IP,Port,Result,Classification,Timestamp,Details
192.168.100.45,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860452,N/A
192.168.100.95,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848245,N/A
192.168.100.95,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860592,N/A
192.168.100.52,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847429,N/A
192.168.100.52,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860632,N/A
192.168.100.85,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848089,N/A
192.168.100.85,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860359,N/A
192.168.100.58,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847060,N/A
192.168.100.58,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860342,N/A
192.168.100.105,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848436,N/A
192.168.100.105,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860888,N/A
192.168.100.83,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847168,N/A
192.168.100.83,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860930,N/A
192.168.100.40,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847778,N/A
192.168.100.40,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861067,N/A
192.168.100.111,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847350,N/A
192.168.100.111,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861192,N/A
192.168.100.49,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.849301,N/A
192.168.100.49,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861322,N/A
192.168.100.87,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.849859,N/A
192.168.100.87,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861410,N/A
192.168.100.79,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847947,N/A
192.168.100.79,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860433,N/A
192.168.100.42,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847922,N/A
192.168.100.42,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861532,N/A
192.168.100.115,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.850166,N/A
192.168.100.115,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861684,N/A
192.168.100.76,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847840,N/A
192.168.100.76,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861791,N/A
192.168.100.53,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.847398,N/A
192.168.100.53,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.860470,N/A
192.168.100.114,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.850114,N/A
192.168.100.114,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.861996,N/A
192.168.100.37,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848616,N/A
192.168.100.37,8883,closed_or_unreachable,Unknown,2025-11-02T04:01:12.862131,N/A
192.168.100.106,1883,closed_or_unreachable,Unknown,2025-11-02T04:01:10.848463,N/A
