IP,Port,Result,Classification,Timestamp,Details
192.168.100.140,1883,connected,Critical,2025-11-02T18:25:02.369629,TLS: No
192.168.100.140,8883,connected,Critical,2025-11-02T18:25:09.913870,TLS: No
