IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-02T03:56:22.475121,Topics: 18
127.0.0.1,8883,connected,Critical,2025-11-02T03:56:29.709596,TLS: Valid; Topics: 1
