IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-02T04:01:41.697264,Topics: 84
127.0.0.1,8883,connect_failed (Connection failed with code 5),Unknown,2025-11-02T04:01:47.805358,TLS: Valid
