IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-03T02:00:41.473375,TLS: No
127.0.0.1,8883,connected,Critical,2025-11-03T02:00:46.559669,TLS: No
