IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-03T02:04:48.024150,TLS: No
127.0.0.1,8883,connected,Critical,2025-11-03T02:04:56.009510,TLS: No
