IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-03T01:42:42.061241,TLS: No
127.0.0.1,8883,connected,Critical,2025-11-03T01:42:49.996314,TLS: No
