IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-03T02:14:59.381110,TLS: No
127.0.0.1,8883,connected,Critical,2025-11-03T02:15:04.459256,TLS: No
