IP,Port,Result,Classification,Timestamp,Details
192.168.100.140,1883,connected,Critical,2025-11-02T19:01:30.075166,TLS: No
192.168.100.140,8883,connect_failed (rc=5),Unknown,2025-11-02T19:01:35.166197,TLS: No
