IP,Port,Result,Classification,Timestamp,Details
192.168.100.140,1883,connected,Critical,2025-11-02T19:03:07.530722,TLS: No
192.168.100.140,8883,connect_failed (rc=5),Unknown,2025-11-02T19:03:12.635306,TLS: No
