IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-02T19:03:06.374968,TLS: No
127.0.0.1,8883,connected,Critical,2025-11-02T19:03:13.733373,TLS: No
