ip,port,result,classification,tls,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,broker_error,sys_topic_count,regular_topic_count,retained_count,publishers,timestamp
127.0.0.1,1883,connected,open_or_auth_ok,False,Not a TLS port,,,,,85,0,51,"[{""topic"": ""test/temperature"", ""payload_size"": 71, ""qos"": 0, ""retained"": true, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""test/humidity"", ""payload_size"": 69, ""qos"": 0, ""retained"": true, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""test/status"", ""payload_size"": 84, ""qos"": 0, ""retained"": true, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/living_room/temp"", ""payload_size"": 64, ""qos"": 0, ""retained"": true, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/bedroom/humidity"", ""payload_size"": 59, ""qos"": 0, ""retained"": true, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/hanif/dht11"", ""payload_size"": 53, ""qos"": 0, ""retained"": true, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/hanif/dht11"", ""payload_size"": 53, ""qos"": 0, ""retained"": false, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}]",2025-10-31T04:10:05.266306
127.0.0.1,8883,connected,open_or_auth_ok,True,,,,,,51,0,51,[],2025-10-31T04:10:12.042802
