IP,Port,Result,Classification,Timestamp,Details
192.168.100.140,1883,connected,Critical,2025-11-02T18:19:15.223601,TLS: No
192.168.100.140,8883,connected,Critical,2025-11-02T18:19:19.955120,TLS: No
