IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-02T12:39:05.192468,Topics: 51
127.0.0.1,8883,connect_failed (Connection failed with code 5),Unknown,2025-11-02T12:39:10.455872,TLS: Valid
