IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-02T19:09:18.076142,TLS: No
127.0.0.1,8883,connected,Critical,2025-11-02T19:09:25.732446,TLS: No
