IP,Port,Result,Classification,Timestamp,Details
127.0.0.1,1883,connected,Critical,2025-11-02T18:58:21.016038,TLS: No
127.0.0.1,8883,connected,Critical,2025-11-02T18:58:28.130819,TLS: No
